SampleID,Env
TQ70,youth
TQ71,youth
TQ72,youth
TQ73,youth
TQ74,youth
TQ75,youth
TQ76,youth
TQ77,youth
TQ78,youth
TQ79,youth
TQ8,youth
TQ80,youth
TQ81,youth
TQ82,youth
TQ85,youth
TQ86,youth
TQ87,youth
TQ89,youth
TQ9,youth
TQ90,youth
TQ92,youth
TQ93,youth
TQ94,youth
TQ95,youth
TQ96,youth
TQ97,youth
TQ98,youth
TQ99,youth
TZ20,mid_age
TZ7,mid_age
TZ95,mid_age
TZ55,mid_age
TZ86,mid_age
TZ114,mid_age
TZ66,mid_age
TZ15,mid_age
TZ109,mid_age
TZ85,mid_age
TZ115,mid_age
TZ71,mid_age
TZ62,mid_age
TZ64,mid_age
TZ112,mid_age
TZ63,mid_age
TZ93,mid_age
TZ74,mid_age
TZ65,mid_age
TZ45,mid_age
TZ11,mid_age
TZ53,mid_age
TZ44,mid_age
TZ34,mid_age
TZ59,mid_age
TZ73,mid_age
TZ94,mid_age
TZ16,mid_age
TZ102,mid_age
TZ38,mid_age
TZ24,mid_age
TZ58,mid_age
TZ28,mid_age
TZ83,mid_age
TZ33,mid_age
TZ29,mid_age
TZ22,mid_age
TZ107,mid_age
TZ12,mid_age
TZ32,mid_age
TZ78,mid_age
TZ6,mid_age
TZ111,mid_age
TZ47,mid_age
TZ88,mid_age
TZ30.1,mid_age
TZ108,mid_age
TZ19,mid_age
TZ40,mid_age
TZ91,mid_age
TZ52,mid_age
TZ37,mid_age
TZ101,mid_age
TZ57,mid_age
TZ81,mid_age
TZ13,mid_age
TZ89,mid_age
TZ4,mid_age
TZ87,mid_age
TZ3,mid_age
TZ5,mid_age
TZ8,mid_age
TZ26,mid_age
TZ75,mid_age
TZ80,mid_age
TZ60,mid_age
TZ30,mid_age
TZ56,mid_age
TZ41,mid_age
TZ76,mid_age
TZ9,mid_age
TZ50,mid_age
TZ77,mid_age
TZ68,mid_age
TZ82,mid_age
TZ104,mid_age
TZ110,mid_age
TZ96,mid_age
TZ67,mid_age
TZ92,mid_age
TZ113,mid_age
TZ105,mid_age
TZ69,mid_age
TZ48,mid_age
TZ103,mid_age
TZ61,mid_age
TL100,elder
TL30,elder
TL107,elder
TL106,elder
TL80,elder
TL76,elder
TL65,elder
TL7,elder
TL96,elder
TL86,elder
TL103,elder
TL95,elder
TL111,elder
TL61,elder
